County,Location,Dwelling_Units_,Households,Habitable_Rooms_,Male_Population,Female_Population,Total_Population,Persons_per_room,County_Centroid,OBJECTID
NAIROBI ,Overall,1229183,985016,1741017,1584836,1525025,3109861,1.8,"(-1.2926489320000001, 36.864854780000002)",0
NYANDARUA ,Overall,285036,143879,501260,291574,303847,595421,1.2,"(-0.32014949999999998, 36.480091790000003)",1
NYANDARUA ,Rural ,234446,113470,413130,235473,245341,480814,1.2,"(-0.32014949999999998, 36.480091790000003)",2
NYANDARUA ,Urban ,50590,30409,88130,56101,58506,114607,1.3,"(-0.32014949999999998, 36.480091790000003)",3
NYERI ,Overall,383817,201703,703951,336556,352881,689437,1,"(-0.34295653199999998, 36.953878789999997)",4
NYERI ,Rural ,299876,147413,569770,255974,267971,523945,0.9,"(-0.34295653199999998, 36.953878789999997)",5
NYERI ,Urban ,83941,54290,134181,80582,84910,165492,1.2,"(-0.34295653199999998, 36.953878789999997)",6
KIRINYAGA ,Overall,272617,154220,518601,258953,267009,525962,1,"(-0.522402857, 37.318654029999998)",7
KIRINYAGA ,Rural ,234230,126861,452199,219716,224554,444270,1,"(-0.522402857, 37.318654029999998)",8
KIRINYAGA ,Urban ,38387,27359,66402,39237,42455,81692,1.2,"(-0.522402857, 37.318654029999998)",9
MURANG'A ,Overall,468333,255696,927840,456512,484370,940882,1,"(-0.80897564700000002, 37.03181197)",10
MURANG'A ,Rural ,406943,216444,818270,391733,416593,808326,1,"(-0.80897564700000002, 37.03181197)",11
MURANG'A ,Urban ,61390,39252,109570,64779,67777,132556,1.2,"(-0.80897564700000002, 37.03181197)",12
KIAMBU ,Overall,695381,469244,1285719,799693,818729,1618422,1.3,"(-1.0689645299999999, 36.821352779999998)",13
KIAMBU ,Rural ,288966,159263,565866,300722,310704,611426,1.1,"(-1.0689645299999999, 36.821352779999998)",14
KIAMBU ,Urban ,406415,309981,719853,498971,508025,1006996,1.4,"(-1.0689645299999999, 36.821352779999998)",15
MOMBASA ,Overall,352471,268700,489794,476684,448453,925137,1.9,"(-4.018795613, 39.653975520000003)",16
KWALE ,Overall,197851,122047,361082,313537,332418,645955,1.8,"(-4.1398571640000004, 39.15036963)",17
KWALE ,Rural ,161713,92959,292047,256452,275102,531554,1.8,"(-4.1398571640000004, 39.15036963)",18
KWALE ,Urban ,36138,29088,69035,57085,57316,114401,1.7,"(-4.1398571640000004, 39.15036963)",19
KILIFI ,Overall,366708,199764,597073,531205,571732,1102937,1.9,"(-3.1731002359999998, 39.683055940000003)",20
KILIFI ,Rural ,267471,127790,442735,393137,430658,823795,1.9,"(-3.1731002359999998, 39.683055940000003)",21
KILIFI ,Urban ,99237,71974,154338,138068,141074,279142,1.8,"(-3.1731002359999998, 39.683055940000003)",22
TANA RIVER ,Overall,74982,47414,99062,119215,120108,239323,2.4,"(-1.557428783, 39.412916930000002)",23
TANA RIVER ,Rural ,63846,39535,83260,101462,102225,203687,2.5,"(-1.557428783, 39.412916930000002)",24
TANA RIVER ,Urban ,11136,7879,15802,17753,17883,35636,2.3,"(-1.557428783, 39.412916930000002)",25
LAMU ,Overall,34879,22184,65205,52261,48137,100398,1.5,"(-2.0391399720000001, 40.767880740000003)",26
LAMU ,Rural ,28796,17391,52181,42371,38402,80773,1.6,"(-2.0391399720000001, 40.767880740000003)",27
LAMU ,Urban ,6083,4793,13024,9890,9735,19625,1.5,"(-2.0391399720000001, 40.767880740000003)",28
